zone,latitude,longitude,supermercato_count_0_5km_radius,ospedale_count_0_5km_radius,scuola_count_0_5km_radius,università_count_0_5km_radius,ristorante_count_0_5km_radius,parco_count_0_5km_radius,palestra_count_0_5km_radius,metro_count_0_5km_radius,tram_count_0_5km_radius,bus_count_0_5km_radius
quadronno - crocetta,45.4542738,9.1956417,14,15,34,13,40,9,16,17,36,33
farini,45.4928794,9.1751082,4,4,11,2,29,4,9,10,17,18
palestro,45.4716297,9.2021428,8,2,24,7,57,8,17,19,27,25
repubblica,45.4794372,9.1979411,13,12,30,7,60,15,13,16,34,48
morgagni,45.478049,9.212456,18,4,20,4,60,8,18,11,28,38
centrale,45.4847973,9.2032159,16,4,39,6,60,7,16,20,41,60
frua,45.4647993,9.1492753,10,4,13,3,60,7,13,12,11,35
piazzale siena,45.4650768,9.1368993,9,3,19,3,40,8,12,8,4,40
lodi - brenta,45.4429124,9.2178994,13,0,25,1,53,11,17,15,1,45
lanza,45.4718013,9.1823052,6,1,9,4,60,9,10,15,27,43
bovisa,45.5022955,9.1653444,7,1,20,18,46,8,9,9,7,28
ripamonti,45.4285187,9.2031437,3,0,9,7,11,11,3,7,9,22
cascina merlata - musocco,45.5100715,9.106849,0,0,3,0,20,2,0,7,0,33
bignami - ponale,45.52435114311696,9.210815545874327,3,5,6,8,30,7,4,12,10,34
buenos aires,45.477891,9.2129012,17,4,19,4,60,8,18,9,26,37
dergano,45.5025125,9.1767835,4,3,24,0,36,11,10,12,8,33
plebisciti - susa,45.46822355159213,9.222548299659351,14,4,17,7,49,8,14,12,27,49
paolo sarpi,45.4810279,9.1713197,13,8,27,2,60,5,15,14,37,22
brera,45.4715187,9.1877351,8,2,9,6,60,4,14,24,20,40
montenero,45.5513532,9.2090518,5,4,9,0,14,3,5,6,11,16
guastalla,45.4597571,9.198675,12,17,30,10,60,9,18,16,32,30
pasteur,45.4902857,9.2179293,14,5,34,5,55,8,14,14,11,42
piave - tricolore,45.46787442901027,9.207189149496196,12,3,19,4,56,8,22,9,27,28
turro,45.4978623,9.2253526,8,4,25,5,50,9,8,7,4,19
gambara,45.4649139,9.1430147,8,3,14,3,59,6,12,11,6,44
maggiolina,45.4926428,9.2009254,7,1,27,2,51,6,7,14,22,53
porta romana - medaglie d'oro,45.4522392,9.202056,12,11,31,3,60,8,14,13,33,40
giambellino,45.4491788,9.1440266,9,0,19,5,32,9,13,13,26,31
moscova,45.4770858,9.1843685,11,8,15,3,60,7,8,14,19,28
città studi,45.4781089,9.2264995,10,7,19,16,36,9,15,9,16,37
cermenate - abbiategrasso,45.43809789841696,9.180062751747892,7,0,20,1,38,7,12,11,21,43
porta nuova,45.4799533,9.1926001,9,10,19,6,58,15,14,13,20,32
istria,45.5016171,9.197952,4,3,28,0,31,7,7,13,18,23
rubattino,45.4773704,9.246706,5,1,9,2,26,5,11,4,6,35
barona,45.4385666,9.154712,8,9,10,7,16,11,6,5,0,48
isola,45.4896261,9.1911715,14,5,20,2,60,14,14,17,32,34
missori,45.4599554,9.1893681,12,12,33,10,60,9,18,34,47,34
monte rosa - lotto,45.47705683549162,9.146654641221073,3,9,16,7,32,7,7,18,8,47
solari,45.4380426,9.2048152,8,2,12,4,30,9,14,2,11,32
scala - manzoni,45.4675733,9.1901177,6,3,15,10,60,8,17,31,36,47
gallaratese,45.4984894,9.1096531,2,1,12,1,18,8,3,12,0,44
turati,45.4746191,9.1947419,7,8,17,5,38,9,14,15,19,30
corso san gottardo,45.4480952,9.1796184,9,0,20,7,60,6,17,11,33,29
carrobbio,45.4602007,9.181269,13,3,37,14,60,8,18,20,39,29
washington,45.4612061,9.1563104,12,3,24,0,57,5,19,15,18,46
sempione,45.4771041,9.1701771,15,4,30,1,60,11,13,11,30,22
quarto cagnino,45.4724405,9.1096273,1,2,9,1,16,11,5,10,0,41
parco trotter,45.4944959,9.2241994,11,2,30,5,57,5,14,9,6,23
pezzotti - meda,45.441109223284855,9.181472931926082,7,0,19,3,48,9,16,10,19,43
cadorna - castello,45.4683729,9.1773559,5,2,19,9,40,10,12,17,27,36
quartiere adriano,45.514532,9.2451782,3,0,7,0,16,17,7,2,0,47
udine,45.4912082,9.2370179,11,2,17,0,32,5,11,9,3,40
garibaldi - corso como,45.48253075128914,9.18734457107556,11,10,18,0,60,13,12,14,30,31
cenisio,45.4874537,9.172262,12,7,13,2,60,4,14,12,30,14
bisceglie,45.4553979,9.1129252,2,3,11,1,5,10,4,14,1,37
corvetto,45.4403776,9.2234375,8,1,23,2,37,10,8,10,0,33
tripoli - soderini,45.4582475,9.1467492,8,2,24,2,38,8,10,10,4,45
vincenzo monti,45.5079994,9.0974335,3,0,6,0,35,4,5,11,1,41
martini - insubria,45.45491426708675,9.220614327406476,8,3,23,2,36,12,11,8,21,39
porta vittoria,45.4622795,9.2071602,16,6,27,8,60,9,18,11,29,35
