square_meters,contract_type_0,contract_type_1,contract_type_2,contract_type_3,contract_type_4,contract_type_5,contract_type_6,availability_year_not_available,availability_year_2024,availability_year_2023,availability_year_2022,availability_instant,availability_year_2015,availability_year_2016,availability_year_2020,availability_year_2025,description,bedrooms,other_rooms,bathrooms,has_security_door,has_tv_system,has_centralized_tv_system,has_optic_fiber,has_video_entryphone,has_electric_gate,has_kitchen_diner,has_open_kitchen,has_half-day_concierge,has_full_day_concierge,has_shared_garden,has_alarm_system,has_partially_furnished,has_kitchen_nook,has_semi-habitable_kitchen,has_disabled_people,has_window_frames,has_window_material_pvc,has_window_material_wood,has_window_material_metal,has_window_type_double,has_window_type_triple,has_exposure_type_internal,has_exposure_type_external,has_exposure_type_double,has_exposure_direction_north,has_exposure_direction_south,has_exposure_direction_east,has_exposure_direction_west,conditions,zone,conditions_imputed,floor,is_mezzanine,is_semi-basement,elevator,energy_class,energy_class_imputed,is_high_efficiency,is_middle_efficiency,is_low_efficiency,condominium_fees,condominium_fees_imputed,latitude,longitude,dist_duomo,dist_scala_theatre,dist_sansiro_stadium,dist_centrale_station,dist_cadorna_station,dist_sforzesco_park,dist_montanelli_park,dist_solari_park,dist_pagano_park,dist_citylife,dist_direzionale,dist_porta_nuova,dist_porta_garibaldi,dist_piazza_affari,avg_conditions_per_zone,avg_square_meters_per_zone,avg_bedrooms_per_zone,avg_bathrooms_per_zone,avg_other_rooms_per_zone,avg_price_per_square_meter_zone,zone_rank,availability_year_not_available_per_zone_perc,availability_year_2024_per_zone_perc,availability_year_2023_per_zone_perc,availability_year_2022_per_zone_perc,availability_instant_per_zone_perc,availability_year_2015_per_zone_perc,availability_year_2016_per_zone_perc,availability_year_2020_per_zone_perc,availability_year_2025_per_zone_perc,availability_year_not_available_per_contract_perc,availability_year_2024_per_contract_perc,availability_year_2023_per_contract_perc,availability_year_2022_per_contract_perc,availability_instant_per_contract_perc,availability_year_2015_per_contract_perc,availability_year_2016_per_contract_perc,availability_year_2020_per_contract_perc,availability_year_2025_per_contract_perc,sqm_x_zone_rank,sqm_x_condition,floor_x_no_elevator,bedrooms_x_zone_rank,sqm_x_high_efficiency
58.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,corvetto,0,1,0,0,1,1,0,0,0,1,140.0,0,45.4403776,9.2234375,3.615160498166476,4.023115442202297,8.82191089391079,5.190986678063153,4.833630348405698,5.176956025007262,4.18184172456721,4.883769101169788,5.891719849178529,6.572004995411378,5.32848636905463,5.374008923379009,5.329847809379115,4.109062021719192,1.7777777777777777,64.81481481481481,1.4814814814814814,1.1111111111111112,0.7777777777777778,21.81603924239641,93.0,0.9259259259259259,0.07407407407407407,0.0,0.0,0.6296296296296297,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,5394.0,116.0,0,93.0,0.0
55.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen nook",1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,corso san gottardo,0,-1,1,0,0,1,0,0,0,1,80.0,0,45.4480952,9.1796184,2.0305959406082805,2.29486106885286,5.4774390808523,4.472464726651508,2.26716759620799,2.800337917373149,3.3061028160634964,1.5088630463845765,2.849055375628347,3.562278004030161,4.270648318070154,3.9860694812972297,3.6897181037083815,1.8591823049638063,1.9,75.65,1.525,1.275,0.925,25.044428603216947,58.0,0.9,0.1,0.0,0.0,0.825,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,3190.0,55.0,-1,58.0,0.0
68.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,lanza,0,4,0,0,1,1,0,0,0,1,200.0,0,45.4718013,9.1823052,1.1287244606784077,0.726862388517568,4.603383486714231,2.168976960685363,0.627343863730547,0.4905496615334473,1.4011028347276162,2.0302413229745944,1.6793433387060062,2.131051131380194,1.817128334724832,1.4230237032934945,1.071387448562933,0.8098621624268945,1.9375,63.4375,1.3125,1.3125,0.875,35.211646196940315,15.0,0.5625,0.3125,0.125,0.0,0.5,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,1020.0,68.0,0,15.0,0.0
50.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,ghisolfa - mac mahon,0,5,0,0,1,2,0,0,0,1,150.0,0,45.49400439451002,9.15814380274522,4.231928033237648,3.818897448516818,3.1955263687592064,3.645226434242959,3.1758920094243264,2.715633039848043,3.934320725893131,4.088049463407212,2.666721929606033,2.0940424349438675,3.1998473871286275,2.840224496043727,2.674518571576566,3.828085026740437,1.6666666666666667,63.8,1.5333333333333334,1.0,0.9333333333333333,26.242263087335377,48.0,0.9333333333333333,0.06666666666666667,0.0,0.0,0.7333333333333333,0.0,0.0,0.0,0.0,0.5224719101123596,0.4199438202247191,0.04073033707865169,0.016853932584269662,0.4199438202247191,0.0,0.0,0.0,0.0,2400.0,100.0,0,48.0,0.0
105.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 2 bathrooms, kitchen nook",1,1,2,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,cadorna - castello,0,5,0,0,1,4,0,0,1,0,220.0,0,45.4683729,9.1773559,1.2252090473456658,0.9434058980803476,4.3026675776940575,2.7109352755153404,0.1081507748595133,0.5397704560475628,1.8765738830903145,1.4920932246119205,1.2970630065125008,1.874065969949788,2.356864723052466,1.9487914817734184,1.5774623990518462,0.6459413438969926,1.864864864864865,95.10810810810811,1.3513513513513513,1.4324324324324325,0.9459459459459459,36.22449316362709,13.0,0.8648648648648649,0.13513513513513514,0.0,0.0,0.6756756756756757,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,1365.0,210.0,0,13.0,0.0
70.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,ticinese,0,3,0,0,1,1,0,0,0,1,216.0,0,45.450596,9.1819509,1.6998309467405557,1.973710261321308,5.461947409351325,4.1446774788596725,2.025598684806786,2.5485043657104307,2.9749490076133216,1.4788212543651231,2.719853823485314,3.4359941571486017,3.950269434102626,3.676159409920303,3.3897344361291872,1.5601192712539618,1.7222222222222223,81.72222222222223,1.4722222222222223,1.2777777777777777,0.9722222222222222,34.92446957021951,16.0,0.8055555555555556,0.19444444444444445,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,1120.0,70.0,0,16.0,0.0
65.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,baggio,0,2,0,0,1,2,0,0,0,1,250.0,0,45.4608805,9.0870797,8.182864558622011,8.013995139254824,3.457773284512687,9.424782002174949,6.981535787051524,7.092669540706165,8.92531740067561,6.15575558514652,5.847934530649464,5.564722356519882,8.95879117121358,8.473077927354272,8.095080584955712,7.540787363779701,1.6666666666666667,59.22222222222222,1.1111111111111112,1.0,0.8888888888888888,15.49927591788057,131.0,1.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.5224719101123596,0.4199438202247191,0.04073033707865169,0.016853932584269662,0.4199438202247191,0.0,0.0,0.0,0.0,8515.0,65.0,0,131.0,0.0
54.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,solari,0,2,0,0,1,7,0,1,0,0,148.0,0,45.4380426,9.2048152,3.078063554711031,3.4955616810122434,7.723226949142131,5.202492125840759,4.04958863448218,4.49414324633694,4.036722848755745,3.73884539049012,4.943393001103053,5.654562732923041,5.206674390735123,5.116863706633494,4.964352910067129,3.381926575776616,1.9397590361445782,73.40963855421687,1.3975903614457832,1.2048192771084338,0.927710843373494,30.33870126672456,24.0,0.8192771084337349,0.1566265060240964,0.024096385542168676,0.0,0.6867469879518072,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,1296.0,162.0,0,24.0,54.0
55.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,washington,0,5,0,0,1,2,0,0,0,1,250.0,0,45.4612061,9.1563104,2.795151518625596,2.675373457098583,3.147857712558795,4.490195213039781,1.725434526025766,2.05110608001036,3.696435212382813,0.84445654882831,1.051926314813433,1.565227556614138,4.092876894696582,3.637120324330896,3.236605871754201,2.163055341358443,1.872340425531915,74.17021276595744,1.5106382978723405,1.3404255319148937,0.9361702127659575,24.231225577895664,67.0,0.851063829787234,0.14893617021276595,0.0,0.0,0.7446808510638298,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,3685.0,110.0,0,67.0,0.0
140.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"4 (3 bedrooms, 1 other), 2 bathrooms, kitchen diner",3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,carrobbio,0,4,0,0,1,1,0,0,0,1,510.0,0,45.4602007,9.181269,0.9404773521503196,1.0351563008865134,4.893821547521769,3.2201263405542764,0.9932033628497168,1.493086677448558,2.130744501970376,1.234255909450774,1.9322376548885,2.620821238423242,2.968219435813044,2.651093810321118,2.341223823508293,0.5202093962484096,1.8392857142857142,102.05357142857143,1.7857142857142858,1.5892857142857142,1.0892857142857142,36.959755336005216,11.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0.5357142857142857,0.0,0.0,0.0,0.0,0.8884192730346576,0.10481825866441251,0.006762468300929839,0.0,0.760777683854607,0.0,0.0,0.0,0.0,1540.0,280.0,0,33.0,0.0
